<pre>  101 ! (c) 2020 Oklahoma Climatological Survey and the Oklahoma Mesonet - all rights reserved
  21 2020 06 07 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 NEWK    68     0     55   32.2    6.0    5.9   151    7.2    0.7    7.6    0.00   968.47   264   32.1    4.4   28.1   35.1   29.1   24.8   21.0    2.09    1.61    1.35
 NEWP   123     0     52   32.5    2.4    2.4   165   10.3    0.4    3.2    0.00   977.28   259   32.4    1.6   23.4   33.4   24.2   -998   -998    -999    -998    -998
 NOWA    70     0     58   32.7    3.2    3.2   145    7.1    0.5    4.4    0.00   986.44   242   33.0    2.0   29.0   34.4   30.5   24.4   21.5    1.87    1.43    1.44
 NRMN   121     0     53   32.8    4.3    4.1   129   15.4    1.0    6.6    0.00   969.30   308   32.7    3.0   26.7   34.7   28.2   24.0   20.9    2.97    2.03    1.35
 OILT    71     0     58   32.2    2.7    2.7   141    9.7    0.7    4.0    0.00   980.69   255   32.2    1.9   28.5   36.6   30.8   26.2   22.2    3.25    2.28    1.55
 OKCE   130     0     48   32.9    3.6    3.5   124   15.7    0.9    5.9    0.00   969.45   268   32.5    3.0   32.7   37.1   35.0   28.9   24.2    2.62    1.99    1.69
 OKEM    72     0     57   32.6    2.1    2.0   135   13.6    0.5    3.1    0.00   980.34   248   32.4    1.6   30.1   37.7   32.1   26.8   -998    1.93    1.53    -998
 OKMU    73     0     60   32.4    2.3    2.3   158    9.3    0.5    3.4    0.00   986.68  -999   32.7    1.5   28.1   36.7   29.1   23.8   -998    2.35    1.84    -998
 PAUL    74     0     49   33.1    2.5    2.4   151   17.0    0.8    4.7    0.00   976.71   251   32.9    1.2   30.5   35.7   31.5   26.5   23.0    2.14    1.48    1.49
 PAWN    75     0     53   32.8    4.3    4.3   149    6.8    0.6    6.3    0.00   977.80   258   32.5    3.7   31.2   34.3   31.0   25.7   21.7    2.53    2.95    1.49
 PERK    76     0     46   33.9    5.4    5.4   145    7.6    1.0    7.1    0.00   976.41   258   33.1    4.5   27.6   37.1   27.8   24.9   21.8    2.77    1.99    1.37
 PORT   118     0     53   33.4    1.9    1.9    93    8.6    0.3    2.7    0.00   987.90   241   33.5    1.3   24.8   39.2   26.9   23.4   21.1    2.10    1.39    1.45
 PRYO    77     0     55   33.4    2.7    2.7   119    6.6    0.5    3.9    0.00   987.05   235   33.3    1.5   26.4   -999   28.1   24.3   -998    1.45    1.35    -998
 PUTN    78     0     30   33.9    7.0    6.9   162    9.8    0.9    9.1    0.00   942.26   307   33.7    4.9   26.7   31.6   -999   26.4   22.2    3.63    2.65    2.62
 REDR    79     0     49   33.4    5.2    5.2   158    8.1    0.8    7.0    0.00   976.02   264   33.3    3.9   30.1   35.5   31.6   25.1   22.4    2.21    1.70    1.33
 RING    81     0     50   32.9    2.8    2.7   134   10.3    0.4    3.7    0.00   977.35   264   32.6    2.1   27.9   34.0   28.6   25.3   -998    1.83    2.22    -998
 SALL    82     0     65   30.9    1.8    1.7   116   11.3    0.5    2.6    0.00   992.27    66   31.2    1.2   30.1   32.2   -999   27.2   23.2    1.87    1.33    1.35
 SEIL    83     0     28   34.7    6.2    6.1   176   11.6    1.3    9.6    0.00   946.47   304   34.3    4.6   28.9   32.9   29.6   25.7   22.8    2.73    3.09    2.31
 SEMI   143     0     58   32.4    1.4    1.4   154   14.4    0.3    2.3    0.00   976.90   256   32.4    1.1   30.8   37.5   32.5   27.7   23.6    2.32    1.34    1.34
 SHAW    84     0     54   32.1    3.9    3.9   151    6.3    0.6    5.3    0.00   972.85   259   32.2    2.6   28.2   37.0   28.5   25.0   21.6    2.21    1.53    1.40
 SKIA    85     0     59   32.6    1.3    1.3   124   11.3    0.3    1.9    0.00   977.87   233   32.3    0.5   30.8   34.4   31.4   25.2   21.9    1.48    1.50    1.53
 SLAP    86     0     27   34.0   10.8   10.7   166    7.7    1.5   13.7    0.00   920.30   334   33.6    8.1   33.1   33.7   34.5   28.1   24.4    3.14    2.16    2.04
 SPEN    87     0     54   32.2    2.8    2.7   142   13.2    0.6    4.1    0.00   967.54   268   31.8    1.7   30.4   38.0   31.9   28.1   23.1    1.63    1.65    1.77
 STIG    88     0     59   32.8    3.5    3.4   108    6.9    0.5    4.4    0.00   990.21   307   32.9    2.3   29.4   32.1   32.1   27.2   23.2    1.76    1.66    1.36
 STIL    89     0     49   33.6    3.6    3.4   152   20.4    0.9    5.6    0.00   978.52   252   33.4    2.9   25.4   35.1   27.0   23.5   20.7    2.85    2.76    2.11
 STUA    90     0     61   32.1    1.2    1.2    89   12.2    0.2    1.9    0.25   980.67   251   32.1    0.3   29.5   37.9   32.2   26.7   22.9    2.64    1.64    1.42
 SULP    91     0     51   32.3    2.1    2.1   121   11.6    0.3    2.8    0.00   973.43   257   32.4    1.2   28.8   34.6   29.9   -998   -998    1.96    -998    -998
 TAHL    92     0     57   32.5    2.1    2.1    89   15.4    0.5    3.2    0.00   977.48   233   32.8    1.6   27.4   34.0   29.3   -998   -998    2.08    -998    -998
 TALA   138     0     57   32.9    3.7    3.6   144   10.5    0.6    4.8    0.00   984.20   244   33.1    2.7   28.4   36.2   30.0   24.8   21.1    1.96    1.36    2.13
 TALI    93     0     55   32.6    1.5    1.5   114   13.7    0.5    2.7    0.00   986.77   237   32.3    0.6   31.3   35.5   32.0   27.7   -998    1.36    1.39    -998
 TIPT    94     0     38   34.1    8.0    7.9   137    8.2    1.1   11.2    0.00   964.45   294   33.8    6.0   28.5   37.0   27.8   26.0   23.7    2.53    1.83    1.56
 TISH    95     0     55   31.5    3.9    3.8   130   13.4    0.9    6.8    0.00   979.18   252   31.1    3.3   30.2   39.1   30.0   27.1   -998    2.16    2.25    -998
 TULN   137     0     53   33.4    1.9    1.9   111   16.5    0.5    3.1    0.00   986.08   242   33.5    1.3   27.4   34.8   28.5   24.5   21.8    2.32    1.37    1.35
 VALL   140     0     81   28.3    0.6    0.5   313   33.8    0.2    0.9    5.08   996.17    99   28.3    0.0   28.0   30.0   29.4   26.5   23.7    1.49    1.47    1.38
 VINI    97     0     60   32.7    2.8    2.8   140    6.3    0.3    3.7    0.00   983.44   236   32.8    1.8   28.9   31.4   29.3   24.5   20.9    1.75    1.34    1.37
 WAL2   136     0     49   33.0    5.9    5.8   149    7.5    1.0    7.9    0.00   972.43   277   33.0    4.5   26.1   37.2   27.9   24.2   21.9    1.57    2.81    1.62
 WASH    99     0     54   32.2    3.9    3.8   146   12.6    0.7    5.3    0.00   970.63   286   32.3    2.7   27.1   35.4   29.5   25.6   22.9    1.72    1.67    1.40
 WATO   100     0     40   33.6    7.2    7.0   151   12.9    1.1    9.5    0.00   950.74   299   32.9    5.3   30.2   35.1   -999   26.3   21.4    2.49    3.73    3.56
 WAUR   101     0     46   33.4    3.8    3.8   136   10.0    1.0    5.8    0.00   977.31   268   33.2    2.8   29.6   38.3   28.2   26.7   23.6    2.28    1.86    1.46
 WEAT   102     0     41   33.4    8.8    8.6   139    8.8    1.0   11.5    0.00   948.10   297   32.7    6.2   30.2   37.1   31.0   25.4   -998    3.52    3.19    -998
 WEBR   132     0     73   26.6    5.1    5.0   340    9.7    1.2    8.3    0.51   993.83    64   27.0    3.5   27.2   36.4   28.9   24.7   22.3    2.23    1.77    1.82
 WEST   104     0     60   30.9    2.4    2.3    83   14.9    0.6    3.8    0.00   971.36   244   31.3    1.3   25.8   30.5   29.7   24.2   -998    1.38    1.42    -998
 WILB   105     0     57   32.2    3.7    3.7   110    8.3    0.7    5.3    0.00   987.14   235   32.3    2.6   28.3   31.0   28.2   25.3   22.3    2.01    1.40    1.45
 WIST   106     0     54   31.6    2.0    1.9    70   10.5    0.7    3.5    0.00   993.88   212   32.0    0.6   25.5   35.7   27.6   23.3   20.8    1.70    1.48    1.39
 WOOD   107     0     32   33.9    7.3    7.2   168   11.2    1.0    9.5    0.00   937.70   310   33.9    5.7   27.6   35.6   27.7   24.9   21.9    1.97    2.53    2.02
 WYNO   108     0     64   31.5    3.0    3.0   148    7.2    0.3    4.1    0.00   979.18   241   31.8    2.0   32.9   35.2   32.1   27.4   -998    2.24    1.37    -998
 YUKO   142     0     50   31.8    4.8    4.7   157   12.6    1.0    7.7    0.00   963.71   149   31.9    4.0   26.0   34.5   27.4   24.7   21.0    2.58    1.42    1.38
</pre>
